ID,Line_ID,Page,Character,Category,Notes,BBox_X,BBox_Y,BBox_W,BBox_H,Crop_File,Crop_Isolated_File
g_p03_l07_verso6_08_s,p03_l07_verso6,3,s,minuscula,s inicial,496,51,103,128,g_p03_l07_verso6_08_s.png,g_p03_l07_verso6_08_s_iso.png
g_p03_l07_verso6_09_e,p03_l07_verso6,3,e,minuscula,,334,84,65,90,g_p03_l07_verso6_09_e.png,g_p03_l07_verso6_09_e_iso.png
g_p03_l08_verso7_01_p,p03_l08_verso7,3,p,minuscula,p inicial,66,46,97,148,g_p03_l08_verso7_01_p.png,g_p03_l08_verso7_01_p_iso.png
g_p03_l08_verso7_02_r,p03_l08_verso7,3,r,minuscula,,169,63,80,81,g_p03_l08_verso7_02_r.png,g_p03_l08_verso7_02_r_iso.png
g_p03_l08_verso7_03_e,p03_l08_verso7,3,e,minuscula,,362,73,67,72,g_p03_l08_verso7_03_e.png,g_p03_l08_verso7_03_e_iso.png
g_p03_l08_verso7_04_g,p03_l08_verso7,3,g,minuscula,,418,76,92,124,g_p03_l08_verso7_04_g.png,g_p03_l08_verso7_04_g_iso.png
g_p03_l08_verso7_05_s,p03_l08_verso7,3,s,minuscula,s final,752,72,104,92,g_p03_l08_verso7_05_s.png,g_p03_l08_verso7_05_s_iso.png
g_p03_l08_verso7_06__44_,p03_l08_verso7,3,",",signo,,815,137,75,63,g_p03_l08_verso7_06__44_.png,g_p03_l08_verso7_06__44__iso.png
g_p03_l09_verso8_01_v,p03_l09_verso8,3,v,minuscula,v inicial,745,27,124,128,g_p03_l09_verso8_01_v.png,g_p03_l09_verso8_01_v_iso.png
g_p03_l09_verso8_02_q,p03_l09_verso8,3,q,minuscula,,239,37,67,149,g_p03_l09_verso8_02_q.png,g_p03_l09_verso8_02_q_iso.png
g_p03_l09_verso8_03_r,p03_l09_verso8,3,r,minuscula,,929,74,76,69,g_p03_l09_verso8_03_r.png,g_p03_l09_verso8_03_r_iso.png
g_p03_l10_verso9_01_L,p03_l10_verso9,3,L,mayuscula,tinta verde,408,7,121,140,g_p03_l10_verso9_01_L.png,g_p03_l10_verso9_01_L_iso.png
g_p03_l10_verso9_02_A,p03_l10_verso9,3,A,mayuscula,tinta verde,542,0,122,140,g_p03_l10_verso9_02_A.png,g_p03_l10_verso9_02_A_iso.png
g_p03_l10_verso9_03_S,p03_l10_verso9,3,S,mayuscula,tinta verde,274,0,109,145,g_p03_l10_verso9_03_S.png,g_p03_l10_verso9_03_S_iso.png
g_p03_l10_verso9_04_I,p03_l10_verso9,3,I,mayuscula,tinta verde,147,0,115,143,g_p03_l10_verso9_04_I.png,g_p03_l10_verso9_04_I_iso.png
g_p03_l10_verso9_05_S,p03_l10_verso9,3,S,mayuscula,tinta verde,706,0,117,165,g_p03_l10_verso9_05_S.png,g_p03_l10_verso9_05_S_iso.png
g_p03_l10_verso9_06_D,p03_l10_verso9,3,D,mayuscula,tinta verde,950,9,130,138,g_p03_l10_verso9_06_D.png,g_p03_l10_verso9_06_D_iso.png
g_p03_l10_verso9_07_E,p03_l10_verso9,3,E,mayuscula,tinta verde,1121,11,134,160,g_p03_l10_verso9_07_E.png,g_p03_l10_verso9_07_E_iso.png
g_p03_l10_verso9_08_T,p03_l10_verso9,3,T,mayuscula,tinta verde,1314,7,149,174,g_p03_l10_verso9_08_T.png,g_p03_l10_verso9_08_T_iso.png
g_p03_l10_verso9_09_R,p03_l10_verso9,3,R,mayuscula,tinta verde,1505,7,145,174,g_p03_l10_verso9_09_R.png,g_p03_l10_verso9_09_R_iso.png
g_p03_l10_verso9_10_A,p03_l10_verso9,3,A,mayuscula,tinta verde,1680,14,138,167,g_p03_l10_verso9_10_A.png,g_p03_l10_verso9_10_A_iso.png
g_p03_l13_rojo1_01_m,p03_l13_rojo1,3,m,minuscula,"m inicial, tinta roja",553,16,199,120,g_p03_l13_rojo1_01_m.png,g_p03_l13_rojo1_01_m_iso.png
g_p03_l13_rojo1_02_e,p03_l13_rojo1,3,e,minuscula,,1026,43,101,93,g_p03_l13_rojo1_02_e.png,g_p03_l13_rojo1_02_e_iso.png
g_p03_l13_rojo1_03_s,p03_l13_rojo1,3,s,minuscula,s inicial,1216,7,156,138,g_p03_l13_rojo1_03_s.png,g_p03_l13_rojo1_03_s_iso.png
g_p03_l13_rojo1_04__46_,p03_l13_rojo1,3,.,signo,puntos suspensivos,2023,45,209,83,g_p03_l13_rojo1_04__46_.png,g_p03_l13_rojo1_04__46__iso.png
g_p03_l14_rojo2_01_y,p03_l14_rojo2,3,y,minuscula,,1539,29,177,164,g_p03_l14_rojo2_01_y.png,g_p03_l14_rojo2_01_y_iso.png
g_p03_l14_rojo2_02_U,p03_l14_rojo2,3,U,mayuscula,U inicial,49,0,150,133,g_p03_l14_rojo2_02_U.png,g_p03_l14_rojo2_02_U_iso.png
g_p03_l15_rojo3_01_p,p03_l15_rojo3,3,p,minuscula,p inicial,330,0,199,197,g_p03_l15_rojo3_01_p.png,g_p03_l15_rojo3_01_p_iso.png
g_p03_l15_rojo3_02_u,p03_l15_rojo3,3,u,minuscula,,163,9,145,91,g_p03_l15_rojo3_02_u.png,g_p03_l15_rojo3_02_u_iso.png
g_p03_l16_bloque_01_P,p03_l16_bloque,3,P,mayuscula,,429,14,107,109,g_p03_l16_bloque_01_P.png,g_p03_l16_bloque_01_P_iso.png
g_p02_l01_encabezado_01_c,p02_l01_encabezado,2,c,minuscula,,969,62,88,75,g_p02_l01_encabezado_01_c.png,g_p02_l01_encabezado_01_c_iso.png
g_p02_l01_encabezado_02_a,p02_l01_encabezado,2,a,minuscula,,1048,67,85,75,g_p02_l01_encabezado_02_a.png,g_p02_l01_encabezado_02_a_iso.png
g_p02_l01_encabezado_03_o,p02_l01_encabezado,2,o,minuscula,,1247,64,53,73,g_p02_l01_encabezado_03_o.png,g_p02_l01_encabezado_03_o_iso.png
g_p02_l01_encabezado_04_n,p02_l01_encabezado,2,n,minuscula,,717,70,98,69,g_p02_l01_encabezado_04_n.png,g_p02_l01_encabezado_04_n_iso.png
g_p02_l01_encabezado_05__58_,p02_l01_encabezado,2,:,signo,dos puntos,1497,64,62,83,g_p02_l01_encabezado_05__58_.png,g_p02_l01_encabezado_05__58__iso.png
g_p02_l03_ezra2_01_x,p02_l03_ezra2,2,x,minuscula,,1053,86,62,62,g_p02_l03_ezra2_01_x.png,g_p02_l03_ezra2_01_x_iso.png
g_p02_l03_ezra2_02__34_,p02_l03_ezra2,2,"""",signo,cierre de comillas,1422,61,93,67,g_p02_l03_ezra2_02__34_.png,g_p02_l03_ezra2_02__34__iso.png
g_p02_l04_ezra3_01_t,p02_l04_ezra3,2,t,minuscula,,896,35,74,110,g_p02_l04_ezra3_01_t.png,g_p02_l04_ezra3_01_t_iso.png
g_p02_l04_ezra3_02_u,p02_l04_ezra3,2,u,minuscula,,1295,76,92,74,g_p02_l04_ezra3_02_u.png,g_p02_l04_ezra3_02_u_iso.png
g_p02_l04_ezra3_03_r,p02_l04_ezra3,2,r,minuscula,,1533,81,74,69,g_p02_l04_ezra3_03_r.png,g_p02_l04_ezra3_03_r_iso.png
g_p02_l05_ezra4_01_z,p02_l05_ezra4,2,z,minuscula,,792,47,109,82,g_p02_l05_ezra4_01_z.png,g_p02_l05_ezra4_01_z_iso.png
g_p02_l05_ezra4_02_d,p02_l05_ezra4,2,d,minuscula,,1472,26,111,110,g_p02_l05_ezra4_02_d.png,g_p02_l05_ezra4_02_d_iso.png
g_p02_l06_babel_01_B,p02_l06_babel,2,B,mayuscula,B inicial,1797,2,112,102,g_p02_l06_babel_01_B.png,g_p02_l06_babel_01_B_iso.png
g_p02_l06_babel_02_b,p02_l06_babel,2,b,minuscula,,1986,0,95,107,g_p02_l06_babel_02_b.png,g_p02_l06_babel_02_b_iso.png
g_p02_l06_babel_03_1,p02_l06_babel,2,1,numero,,2541,22,64,87,g_p02_l06_babel_03_1.png,g_p02_l06_babel_03_1_iso.png
g_p02_l06_babel_04_1,p02_l06_babel,2,1,numero,,2605,20,41,79,g_p02_l06_babel_04_1.png,g_p02_l06_babel_04_1_iso.png
g_p02_l07_todoel_01_m,p02_l07_todoel,2,m,minuscula,m inicial,1674,4,128,67,g_p02_l07_todoel_01_m.png,g_p02_l07_todoel_01_m_iso.png
g_p02_l07_todoel_02_m,p02_l07_todoel,2,m,minuscula,m inicial,696,7,115,79,g_p02_l07_todoel_02_m.png,g_p02_l07_todoel_02_m_iso.png
